id,produit_id,dimension1,dimension2,dimension3,longueur,unite
619,619,17058-300-003-DR,,,,po
620,620,17058-300-004,,,,po
621,621,17058-300-004-DR,,,,po
622,622,17058-300-005,,,,po
623,623,17058-300-012,,,,po
624,624,17058-300-013,,,,po
625,625,17058-300-015,,,,po
626,626,17058-300-015-DR,,,,po
627,627,17058-300-024,,,,po
628,628,17058-300-026,,,,po
629,629,17058-300-027,,,,po
630,630,17058-300-029,,,,po
631,631,17058-300-029-DR,,,,po
632,632,17058-300-031,,,,po
633,633,17058-300-031-DR,,,,po
634,634,17058-300-032,,,,po
635,635,17058-300-032,,,,po
636,636,17058-300-032-DR,,,,po
637,637,17058-300-032-DR,,,,po
638,638,17058-300-033,,,,po
639,639,17058-300-033-DR,,,,po
640,640,17058-300-035,,,,po
641,641,17058-300-037,,,,po
642,642,17058-300-037-DR,,,,po
643,643,17058-300-044,,,,po
644,644,17058-300-044-DR,,,,po
645,645,17058-300-045,,,,po
646,646,17058-300-045-DR,,,,po
647,647,17058-300-047,,,,po
648,648,17058-300-062,,,,po
649,649,17058-300-096_Rev1,,,,po
650,650,17058-300-097_Rev1,,,,po
651,651,17058-400-007,,,,po
652,652,17058-400-010,,,,po
653,653,17058-400-012,,,,po
654,654,17058-400-013,,,,po
655,655,17058-400-023,,,,po
656,656,18-141-041,"5,813",27.25,,po
657,657,18-141-043,"1,500",6.5,,po
658,658,18-141-045-7,"4,000",4.5,,po
659,659,19-102-020,"2,362",6,,po
660,660,19-102-023,"2,362",6,,po
661,661,19-103-020,"2,362",6,,po
662,662,19-103-023,"2,362",6,,po
663,663,19-106-001-6,"3,25",6,,po
664,664,19-106-004,"2-1/2""","7.153""",,po
665,665,19-116-002,,,,po
666,666,19-116-003,,,,po
667,667,19-116-004,,,,po
668,668,20-108-041,,,,po
669,669,20-108-206,,,,po
670,670,20-108-401-5,0.5,,,po
671,671,20-108-402-1,0.5,,,po
672,672,20-108-403-11,16 GA,,,po
673,673,20-108-403-13,16 GA,,,po
674,674,20-108-403-14,16 GA,,,po
675,675,20-108-403-15,16 GA,,,po
676,676,20-108-403-16,16 GA,,,po
677,677,20-108-403-17,16 GA,,,po
678,678,20-108-403-18,16 GA,,,po
679,679,20-108-403-19,16 GA,,,po
680,680,20-108-403-20,16 GA,,,po
681,681,20-108-505,1/2'',,,po
682,682,20-108-802-1,1/4'',C1020,,po
683,683,20-108-802-2,1/8'',C1020,,po
684,684,20-108-803,,,,po
685,685,20-120-001,3/16'',STAINLESS,,po
686,686,20-120-002,3/16'',STAINLESS,,po
687,687,20-120-003,3/16'',STAINLESS,,po
688,688,20-120-004,3/16'',STAINLESS,,po
689,689,20-120-005,3/16'',STAINLESS,,po
690,690,20-127-009-3,,,,po
691,691,20-127-009-5,,,,po
692,692,20-127-009-7,,,,po
693,693,20-127-022-2,,,,po
694,694,20-127-024-1,,,,po
695,695,21-108-001-12,,,,po
696,696,21-108-001-13,,,,po
697,697,21-108-001-14,,,,po
698,698,21-108-001-16,,,,po
699,699,21-108-001-18,,,,po
700,700,21-108-001-20,,,,po
701,701,21-108-001-21,,,,po
702,702,21-108-001-22,,,,po
703,703,21-108-001-23,,,,po
704,704,21-108-001-24,,,,po
705,705,21-108-001-25,,,,po
706,706,21-108-001-26,,,,po
707,707,21-108-019-1,,,,po
708,708,21-108-019-2,,,,po
709,709,21-108-019-3,,,,po
710,710,21-108-019-4,,,,po
711,711,21-108-019-5,,,,po
712,712,21-108-101-41,,,,po
713,713,21-108-101-24,,,,po
714,714,21-108-101-25,,,,po
715,715,21-108-101-26,,,,po
716,716,21-108-101-29,,,,po
717,717,21-108-101-30,,,,po
718,718,21-108-101-31,,,,po
719,719,21-108-101-32,,,,po
720,720,21-108-101-37,,,,po
721,721,21-108-101-41,,,,po
722,722,21-108-102-2,0.5,,,po
723,723,21-108-102-3,0.5,,,po
724,724,21-108-102-4,0.25,,,po
725,725,21-108-102-6,0.75,,,po
726,726,21-108-102-7,0.75,,,po
727,727,21-108-102-8,0.25,,,po
728,728,21-108-103-1,0.5,,,po
729,729,21-108-103-2,0.5,,,po
730,730,21-108-103-3,0.5,,,po
731,731,21-108-103-4,0.5,,,po
732,732,21-108-112,0.125,,,po
733,733,21-108-201-10,"1/2""",,,po
734,734,21-108-201-11,"1/2""",,,po
735,735,21-108-201-14,"1/2""",,,po
736,736,21-108-201-7,"1/2""",,,po
737,737,21-108-201-9,"1/2""",,,po
738,738,21-108-301-10,"3/8""",,,po
739,739,21-108-301-13,"1/2""",,,po
740,740,21-108-301-5,"1/2""",,,po
741,741,21-108-301-7,"1/4""",,,po
742,742,21-108-301-8,"1/2""",,,po
743,743,21-108-306-2,"1/2""",,,po
744,744,21-108-401-6,"1/8""",,,po
745,745,21-108-402-2,"1/2""",,,po
746,746,21-108-402-3,"1/2""",,,po
747,747,21-108-403-2,"1/2""",,,po
748,748,21-108-403-3,"1/2""",,,po
749,749,21-108-404-2,"1/2""",,,po
750,750,21-108-405-2,"1/2""",,,po
751,751,21-108-405-3,"1/2""",,,po
752,752,21-108-406-2,"1/2""",,,po
753,753,21-108-408-3,"1/2""",,,po
754,754,21-108-408-4,3/8'',,,po
755,755,21-108-408-6,1/4'',,,po
756,756,21-108-408-7,1/2'',,,po
757,757,21-108-413-2,1/2'',3.5,4.5,po
758,758,21-108-413-3,1,2,2.5,po
759,759,21-108-413-4,1/2'',4.25,4.25,po
760,760,21-108-414-2,1,2,2.5,po
761,761,21-108-414-3,1/2'',3.5,4.25,po
762,762,21-108-414-4,1/4'',5.16,5.16,po
763,763,21-108-414-5,3/4'',5.16,5.16,po
764,764,21-108-414-6,1/4'',5.16,5.16,po
765,765,21-116-006-11.DXF,0.5,2,2,po
766,766,21-116-006-13.DXF,0.125,42.25,34,po
767,767,,0.125,34.25,34,po
768,768,21-116-006-17.DXF,0.5,10.75,9,po
769,769,21-116-006-18.DXF,0.25,6.92,4.5,po
770,770,21-116-006-21.DXF,0.5,2.5,2.5,po
771,771,21-116-006-23.DXF,0.063,10.784,8.651,po
772,772,21-116-006-24.DXF,0.5,11,4,po
773,773,21-116-006-26.DXF,0.125,33.5,6.816,po
774,774,21-116-006-27.DXF,0.5,2.569,1.569,po
775,775,21-116-006-28.DXF,0.125,41.938,34,po
776,776,21-116-006-7.DXF,0.125,2.545,1.545,po
777,777,21-116-014-10.DXF,0.5,10,36.25,po
778,778,21-116-014-13.DXF,0.25,2.76,6.4,po
779,779,21-116-014-15.DXF,0.125,6.5,30.2,po
780,780,21-116-014-16.DXF,0.125,3.5,19.2,po
781,781,21-116-014-17.DXF,0.25,3,7.5,po
782,782,21-116-014-18.DXF,0.125,20,7.2,po
783,783,21-116-014-19.DXF,0.5,7.5,3,po
784,784,21-116-014-2.DXF,0.75,6,10,po
785,785,21-116-014-20.DXF,0.125,10,24.875,po
786,786,21-116-014-21.DXF,0.125,10,24.875,po
787,787,21-116-014-3.DXF,0.5,6,21.25,po
788,788,21-116-014-4.DXF,0.5,6,21.8,po
789,789,21-116-014-5.DXF,0.5,6,5.25,po
790,790,21-116-014-6.DXF,0.125,6.5,34.25,po
791,791,21-116-014-7.DXF,0.5,10,30,po
792,792,21-116-014-8.DXF,0.25,2.5,7.5,po
793,793,21-116-014-9.DXF,0.5,10,38,po
794,794,21-116-017.DXF,0.5,11.875,18,po
795,795,21-116-022-1.DXF,0.5,6,3.43,po
796,796,21-116-022-2.DXF,0.5,5,3.43,po
797,797,21-116-022-3.DXF,0.125,6.76,4.76,po
798,798,21-116-022-4.DXF,0.75,21,18,po
799,799,21-116-025.DXF,0.5,5.5,8,po
800,800,CLEF 42 FABPLUS,,,,po
801,801,CLEF ER 32,ER32,,,po
802,802,CLEF ER 40,ER40,,,po
803,803,FAB-410-001-10,,,,po
804,804,FAB-410-002-1,,,,po
805,805,FAB-410-002-9,,,,po
806,806,FAB-410-005-2,plaque acier 1'' x 6.25'' x 8.5'',,,po
807,807,FAB-410-005-6,,,,po
808,808,FAB-410-010-5,,,,po
809,809,FAB-410-010-8,,,,po
810,810,FAB-410-027,,,,po
811,811,FAB-410-029-1,,,,po
812,812,FAB-410-029-2,,,,po
813,813,FAB-410-034-1,,,,po
814,814,FAB-410-034-2,,,,po
815,815,FAB-410-073-2,,,,po
816,816,FAB-410-073-5,,,,po
817,817,FAB-410-601-5,,,,po
818,818,FAB-410-601-6,,,,po
819,819,FAB-425-001-18,0.5,2,34.5,po
